Ano de nascimento;Tipo sanguíneo;Altura;Peso;Aparicoes;link;de nascimento
1963 (não confirmado);O;1,74cm;60,8kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/brad-vickers/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/brian-irons/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim (2003)'];https://www.residentevildatabase.com/bruce-mcgivern/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 6 (2012)', 'Mangá: Biohazard / Resident Evil Marhawa Desire (2012)'];https://www.residentevildatabase.com/carla-radames/;
1977 (não confirmado);O;1,82cm;83kg;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/carlos-oliveira/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/cassandra-dimitrescu/;
1972 ou 1973 (não confirmado);O;"1,81cm (em jogos antigos); 1,85cm (em RE5)";"80,5kg (em jogos antigos); 85kg (em RE5)";['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Mangá: Biohazard Prelude To The Fall (2007)', 'Biohazard / Resident Evil 5 (2009)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil 6 (2012)', 'Mangá: Biohazard / Resident Evil Marhawa Desire (2012)', 'Peça Teatral: Biohazard The Stage (2015)', 'Mangá: Biohazard / Resident Evil Heavenly Island (2015)', 'Biohazard / Resident Evil 7 (2017)', 'Biohazard / Resident Evil Vendetta (2017)', 'Biohazard / Resident Evil Village (2021)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/chris-redfield/;
1974 (24 anos em 1998);Desconhecido.;1,75m;64kg;['Biohazard / Resident Evil Outbreak (2003)', 'Biohazard / Resident Evil Outbreak File #2 (2004)'];https://www.residentevildatabase.com/cindy-lennox/;
1979 (19 anos em 1998);O;1,69cm;52,4kg;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard Gun Survivor 2 / Resident Evil Survivor 2 (2001)', 'Biohazard / Resident Evil: Degeneration (2008)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard / Resident Evil Revelations 2 (2015)', 'Mangá: Biohazard / Resident Evil Heavenly Island (2015)', 'Biohazard RE:2 / Resident Evil 2 (2019)', 'BIOHAZARD / RESIDENT EVIL:\xa0Infinite Darkness (2021)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/claire-redfield/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/clancy-javis/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/clive-r-obrian/;
1970 (35 anos em 2005);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Degeneration (2008)'];https://www.residentevildatabase.com/curtis-miller/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)'];https://www.residentevildatabase.com/damian-bsaa/;
1956 (não confirmado).;Desconhecido;1,85cm;89kg;['Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/dan-dechant/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/daniela-dimitrescu/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/dario-rosso/;
1982 (não confirmado).;Desconhecido;1,80cm;77kg;['Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/dave-johnson/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/david-anderson/;
Desconhecido.;Desconhecido.;1,85m;92kg;['Biohazard / Resident Evil Outbreak (2003)', 'Biohazard / Resident Evil Outbreak File #2 (2004)'];https://www.residentevildatabase.com/david-king/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)'];https://www.residentevildatabase.com/dc-bsaa/;
1992;desconhecido.;desconhecido.;desconhecido.;['Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/deborah-harper/;
desconhecido.;desconhecido.;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/dee-ay-crispin-jettingham/;
1967 (46 anos em 2013).;Desconhecido.; 1,87m; 80kg;['Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/derek-c-simmons/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)'];https://www.residentevildatabase.com/diego-gomez/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/donna-beneviento/;
;;;;;https://www.residentevildatabase.com/doug-re5-desperate-escape/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/o-duque/;
desconhecido.;desconhecido.;desconhecido.;desconhecido.;['Biohazard / Resident Evil CODE: Veronica (2000)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/edward-ashford/;
1972 (não confirmado);A;1,88cm;112,1kg;['Biohazard / Resident Evil 0 (2003)'];https://www.residentevildatabase.com/edward-dewey/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/edward-thompson/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/elena-lupu/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/emma-kendo/;
1957 (não confirmado);O;1,90cm;83kg;['Biohazard / Resident Evil (1996)', 'Biohazard / Resident Evil (2002)', 'Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: Deadly Silence (2006)'];https://www.residentevildatabase.com/enrico-marini/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)', 'Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/ethan-winters/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/eveline/;
1945 (não confirmado);Desconhecido.;1,70m;50kg;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/evgeny-rebic/;
Idade em torno de 28 anos.;Desconhecido.;1,75cm;55kg;['Biohazard 5 / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/excella-gionne/;
1990 (22 anos em 2012);desconhecido.;desconhecido.;desconhecido.;['Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/finn-macauley/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim (2003)'];https://www.residentevildatabase.com/fong-ling/;
1969 (não confirmado);A;1,83cm;71,1kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/forest-speyer/;
1970 (não confirmado);A-;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/four-eyes-christine-yamata/;
1961 (44 anos em 2005);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Degeneration (2008)'];https://www.residentevildatabase.com/frederic-downing/;
1976 (não confirmado).;Desconhecido.;1,79m;85kg;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/gabriel-chavez/;
1959 (39 anos em 1998);Desconhecido.;1,79m;79kg;['Biohazard / Resident Evil Outbreak (2003)', 'Biohazard / Resident Evil Outbreak File #2 (2004)'];https://www.residentevildatabase.com/george-hamilton/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil Remake (2002)'];https://www.residentevildatabase.com/george-trevor/;
1982 (não confirmado).;Desconhecido.;1,72m;Desconhecido.;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/gina-foley/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)'];https://www.residentevildatabase.com/glenn-arias/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;[];https://www.residentevildatabase.com/presidente-graham/;
1977 (28 anos em 2005);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Degeneration (2008)'];https://www.residentevildatabase.com/greg-glenn/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/harley-erez-morris/;
1989 (não confirmado).;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/helena-harper/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil 4 (2005) ‘The Mercenaries’', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard RE:2 / Resident Evil 2 (2019)', 'Biohazard RE:4 / Resident Evil 4 (2023) ‘The Mercenaries’'];https://www.residentevildatabase.com/hunk/;
1980 (não confirmado);desconhecido.;desconhecido.;desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard / Resident Evil: Degeneration (2008)', 'Biohazard / Resident Evil: Damnation (2012)', 'Biohazard / Resident Evil 6 (2012)', 'Biohazard RE:4 / Resident Evil 4 (2023)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/ingrid-hunnigan/;
1962 (55 anos em 2014);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)', 'Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/jack-baker/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/jack-krauser/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/jack-norman/;
1992 (20 anos em 2012);Desconhecido.;1,90m;80kg;['Biohazard / Resident Evil 6 (2012)'];https://www.residentevildatabase.com/jake-muller/;
1918 (não confirmado).;A;1,80m;68,5kg;['Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/james-marcus/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;['BIOHAZARD\xa0/\xa0RESIDENT EVIL: Infinite Darkness (2021)'];https://www.residentevildatabase.com/jason-maddogs/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: The Darkside Chronicles (2009)'];https://www.residentevildatabase.com/javier-hidalgo/;
Desconhecido.; Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Damnation (2012)'];https://www.residentevildatabase.com/jd-damnation/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/jessica-sherawat/;
desconhecido.;desconhecido.;desconhecido.;desconhecido.;['Biohazard / Resident Evil (2002)'];https://www.residentevildatabase.com/jessica-trevor/;
1974;B;1,72m;56kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil: Deadly Silence (2006)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)', 'Biohazard / Resident Evil 5 (2009)', 'Biohazard / Resident Evil: The Mercenaries 3D (2011)', 'Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard RE:3 / Resident Evil 3 (2020)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/jill-valentine/;
1974 (24 anos em 1998);Desconhecido.;1,76m;70kg;['Biohazard / Resident Evil Outbreak (2003)', 'Biohazard / Resident Evil Outbreak File #2 (2004)'];https://www.residentevildatabase.com/jim-chapman/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;[];https://www.residentevildatabase.com/joe-baker/;
"Desconhecido
Tipo sanguíneo";;;;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil Remake (2002)'];https://www.residentevildatabase.com/john/;
1971 (não confirmado);B;1,79cm;72,3kg;['Biohazard / Resident Evil Clássico (1996)', 'Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)', 'Biohazard / Resident Evil: Deadly Silence (2006)'];https://www.residentevildatabase.com/joseph-frost/;
1974 (não confirmado);Desconhecido.;1,85cm;93kg;['Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/josh-stone/;
Desconhecido.;Desconhecido.; Desconhecido.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/karl-heisenberg/;
1976 (22 anos em 1998);Desconhecido.; 1,60m; 50kg;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/katherine-warren/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)'];https://www.residentevildatabase.com/keith-lumley/;
1953 (não confirmado);O;1,88cm;96,8kg;[];https://www.residentevildatabase.com/kenneth-j-sullivan/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Remake (2002)', 'Biohazard / Resident Evil 0 (2003)'];https://www.residentevildatabase.com/kevin-dooley/;
1967 (31 anos em 1998);Desconhecido.;1,82m;89kg;[];https://www.residentevildatabase.com/kevin-ryman/;
1981 (não confirmado).;Desconhecido.;1,79cm;80kg;['Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil 5 (2009)'];https://www.residentevildatabase.com/kirk-mathison/;
;A;"1,78cm (em jogos antigos); 1,80cm (em RE4)";"70,2kg (em jogos antigos); desconhecido (em RE4)";['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil Gaiden (2002)', 'Biohazard / Resident Evil 4 (2005)', 'Biohazard / Resident Evil: Degeneration (2008)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard / Resident Evil: Operation Raccoon City (2012)', 'Biohazard / Resident Evil: Damnation (2012)', 'Biohazard / Resident Evil 6 (2012)', 'Biohazard / Resident Evil: Vendetta (2017)', 'Biohazard RE:2 / Resident Evil 2 (2019)', 'BIOHAZARD / RESIDENT EVIL:\xa0Infinite Darkness\xa0(2021)', 'Biohazard RE:4 / Resident Evil 4 (2023)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/leon-s-kennedy/;1977 (não confirmado)
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor / Resident Evil Survivor (2000)'];https://www.residentevildatabase.com/lily-klein/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil (2002)', 'Biohazard / Resident Evil: The Umbrella Chronicles (2007)'];https://www.residentevildatabase.com/lisa-trevor/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor / Resident Evil Survivor (2000)'];https://www.residentevildatabase.com/lott-klein/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/lucas-baker/;
1976 (não confirmado);Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 4 (2005)', 'Biohazard RE:4 / Resident Evil 4 (2023)'];https://www.residentevildatabase.com/luis-serra/;
1960 (não confirmado);AB;desconhecida.;desconhecido.;['Biohazard / Resident Evil: Operation Raccoon City (2012)'];https://www.residentevildatabase.com/lupo-karena-lesproux/;
Desconhecido.;Desconhecido.; Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/mae-miranda/;
1986 (não confirmado);Desconhecido.;Desconhecida.;Desconhecido.;[];https://www.residentevildatabase.com/manuela-hidalgo/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)'];https://www.residentevildatabase.com/marguerite-baker/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)', 'Biohazard / Resident Evil: Death Island (2023)'];https://www.residentevildatabase.com/maria-gomez/;
1946 (52 anos em 1998);Desconhecido.;1,85m;101kg;[];https://www.residentevildatabase.com/mark-wilkins/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 2 (1998)', 'Biohazard / Resident Evil Outbreak File #2 (2004)', 'Biohazard / Resident Evil: The Darkside Chronicles (2009)', 'Biohazard RE:2 / Resident Evil 2 (2019)'];https://www.residentevildatabase.com/marvin-branagh/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil 7 (2017)', 'Biohazard / Resident Evil Village (2021)'];https://www.residentevildatabase.com/mia-winters/;
"Desconhecido
Tipo sanguíneo";;;;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)'];https://www.residentevildatabase.com/michael-warren/;
1953 (não confirmado).;A;1,78m;98kg;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/mikhail-victor/;
1991 (não confirmado).;Desconhecido.;1,65m;50,7kg;['Biohazard / Resident Evil (1996) (menção em file)', 'Biohazard / Resident Evil (2002) (menção em file)', 'Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/moira-burton/;
Desconhecido.;Desconhecido.;Desconhecido.;Desconhecido.;['Biohazard / Resident Evil: Revelations (2012)', 'Biohazard / Resident Evil: Revelations 2 (2015)'];https://www.residentevildatabase.com/morgan-lansdale/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard Gun Survivor 4: Heroes Never Die / Resident Evil Dead Aim (2003)'];https://www.residentevildatabase.com/morpheus-d-duvall/;
1971 (não confirmado);B;1,91m;82kg;['Biohazard 3: Last Escape / Resident Evil 3: Nemesis (1999)', 'Biohazard RE:3 / Resident Evil 3 (2020)'];https://www.residentevildatabase.com/murphy-seeker/;
Desconhecido.;Desconhecido.;Desconhecida.;Desconhecido.;['Biohazard / Resident Evil Vendetta (2017)'];https://www.residentevildatabase.com/nadia-bsaa/;
2001 (10 anos em 2011).;Desconhecido.;1,37m;32kg;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/natalia-korda/;
1972 (39 anos em 2011);Desconhecido.;1,80m;70kg;['Biohazard / Resident Evil Revelations 2 (2015)'];https://www.residentevildatabase.com/neil-fisher/;
